hisco,en_text,hisclass,hisclass_5,socpo,hiscam
-3,Non work related title,,,,
-2,Source explicitly states that the person does not work,,,,
-1,"Missing, no title",,,,
1110,"Chemist, General",2,1,5,85.58
1120,Organic Chemist,,,,
1130,Inorganic Chemist,,,,
1140,Physical Chemist,,,,
1150,Analytical Chemist,2,1,42,85.58
1190,Other Chemists,,,,
1200,Physicists,2,1,5,85.58
1210,"Physicist, General",2,1,5,82.98
1220,Mechanics Physicist,,,,
1230,Heat Physicist,,,,
1240,Light Physicist,,,,
1250,Sound Physicist,,,,
1260,Electricity and Magnetism Physicist,,,,
1270,Electronics Physicist,,,,
1280,Nuclear Physicist,,,,
1290,Other Physicists,,,,
1300,Physical Scientists Not Elsewhere Classified,,,,
1320,Geophysical Scientist,,,,
1330,Geological Scientist,,,,
1340,Meteorological Scientist,2,1,5,85.58
1350,Astronomical Scientist,2,1,5,82.98
1390,Other Physical Scientists,,,,
1400,"Physical Science Technician, Specialisation Unknown",4,2,42,69.76
1420,Chemistry Technician,4,2,42,82.98
1430,Physics Technician,4,2,42,
1490,Other Physical Science Technicians,4,2,5,69.76
2000,"Engineer, Specialisation Unknown",2,1,5,99
2100,Architects and Town Planners,,,,
2120,Building Architect,2,1,5,84.26
2130,Town Planner,2,1,5,88.13
2140,Landscape Architect,2,1,5,74.34
2200,Civil Engineers,,,,
2210,"Civil Engineer, General",2,1,5,83.16
2220,Building Construction Engineer,2,1,5,82.58
2230,Highway and Street Construction Engineer,1,1,5,82.58
2235,Aerodrome Construction Engineer,,,,
2240,Railway Construction Engineer,2,1,5,84.26
2245,Bridge Construction Engineer,2,1,5,82.58
2250,Sanitary Engineer,,,,
2255,Hydraulics Engineer,2,1,5,71.27
2260,Soil Mechanics Engineer,4,2,5,89.01
2290,Other Civil Engineers,2,1,5,89.01
2300,Electrical and Electronics Engineers,,,,
2305,"Electrical Engineer, General",2,1,5,87.33
2310,"Electronics Engineer, General",2,1,5,74.34
2320,Power Generation Engineer,,,,
2330,Power Distribution and Transmission Engineer,,,,
2340,Telecommunications Engineer,,,,
2390,Other Electrical and Electronics Engineers,,,,
2400,Mechanical Engineers,,,,
2410,"Mechanical Engineer, General",2,1,5,82.58
2420,Industrial Machinery and Tools Engineer,2,1,5,82.58
2430,"Mechanical Engineer (Motors and Engines, except Marine)",,,,
2440,Marine Engineer,2,1,5,82.58
2450,Ship Construction Engineer,2,1,5,82.58
2460,Aeronautical Engineer,2,1,5,82.58
2470,Automotive Engineer,,,,
2480,"Heating, Ventilation and Refrigeration Engineer",,,,
2485,Nuclear Power Engineer,,,,
2490,Other Mechanical Engineers,,,,
2500,Chemical Engineers,,,,
2510,"Chemical Engineer, General",2,1,5,84.26
2520,Chemical Engineer (Petroleum),,,,
2590,Other Chemical Engineers,,,,
2600,Metallurgists,,,,
2620,Extractive Metallurgist,2,1,5,74.34
