concept_or_term,kind,freq,n_actors,top_example,hisco,en_hisco,hisclass,hisclass_5,hiscam,match,needs_review
journalist,concept,46,40,journalist,15915,Journalist,2,1,86.98,synonym,
printer,concept,39,25,journeyman printer,92110,"Printer, General",7,3,67.59,synonym,
editor,concept,39,32,editor of Newcastle Weekly Chronicle (1864-19,15920,"Editor, Newspapers and Periodicals",2,1,82.12,synonym,
messenger,concept,32,27,errand-boy,37040,Messenger,9,3,55.72,synonym,
secretary,concept,29,19,organising secretary of Union of Post Office ,21110,General Manager,1,1,84.88,synonym,yes
teacher,concept,27,21,teacher (1907-?),13000,"Teacher, Level and Subject Unknown",2,1,82.44,synonym,
author,concept,26,23,author,15120,Author,2,1,79.8,rescue,yes
clerk,concept,26,17,clerk/storekeeper (1877-85),39310,"Office Clerk, General",5,2,69.59,synonym,yes
(non classé),noise,25,21,1935-44),,,,,,none,yes
lecturer,concept,25,18,lecturer,13000,"Teacher, Level and Subject Unknown",2,1,82.44,synonym,yes
labourer,concept,19,16,navvy,99910,Labourer,11,5,57.34,synonym,
assistant,term,19,17,assistant to brother in plumbing business (17,,,,,,ambiguous,yes
shopkeeper,concept,17,16,Draper’s-boy,41020,Working Proprietor (Wholesale Trade),3,2,81.33,synonym,yes
farm_labourer,concept,16,14,"Variously employed in his youth, including bo",61220,Field Crop Farmer,8,4,50.88,synonym,
salesman,concept,16,12,commercial traveller,43220,Commercial Traveller,4,2,73.55,rescue,yes
union_official,concept,14,12,"held various trade union appointments, includ",21110,General Manager,1,1,84.88,synonym,yes
legislator,concept,14,14,MP (Lab) for North Camberwell (1922-31,20110,Legislative Official,1,1,93.36,synonym,
weaver,concept,14,13,"Worked the bobbin-wheel as a child, soon beco",75430,Cloth Weaver (Hand),9,3,50.74,synonym,
manager,concept,14,12,manager of Yorkshire Factory Times (1889-91),21110,General Manager,1,1,84.88,rescue,yes
shoemaker,concept,12,9,Put to the trade of shoemaking before the age,80110,"Shoemaker, General",7,3,52.83,synonym,
agent,concept,11,10,"Started work in the mines at age 12, and rema",45230,Canvasser,11,5,51.9,synonym,yes
bookseller,concept,9,8,"Bookseller’s apprentice (1837), becoming head",41020,Working Proprietor (Wholesale Trade),3,2,81.33,rescue,yes
minister_religion,concept,9,7,Methodist circuit preacher (1896-1936),14120,Minister of Religion,2,1,97.7,rescue,yes
seaman,concept,8,7,"Went to sea on leaving school, but soon retur",98140,Ordinary Seaman,11,5,52.91,synonym,
compositor,concept,8,8,compositor (for 1 year on Linton’s English Re,92120,Hand Compositor,7,3,61.68,synonym,
engineer,concept,8,6,electrical engineer (to 1914),84170,Office Machinery FitterAssembler,9,3,66.11,synonym,yes
proprietor,concept,7,7,proprietor of the short-run Bawbee (1856) and,41020,Working Proprietor (Wholesale Trade),3,2,81.33,synonym,yes
news_vendor,concept,6,6,newsboy (to 1883),45240,News Vendor,11,5,56.72,synonym,
warehouseman,concept,5,5,warehouseman,97145,Warehouse Porter,11,5,56.66,rescue,yes
missionary,concept,4,3,‘Social Missionary’ lecturer (1840-6),14130,Missionary,4,2,67.76,synonym,
fitter,concept,4,4,Mechanics’ Magazine (from 1869),84100,Machinery Fitters and Machine Assemblers,7,3,66.2,synonym,
mason,concept,4,3,"bricklayer (1853-9), then deputy foreman (to ",95120,Bricklayer (Construction),7,3,50,rescue,yes
soldier,term,4,4,"enlisted (1914), but invalided out",,,,,,ambiguous,yes
spinner,concept,4,4,rope-spinner,75220,"Spinner, Thread and Yarn",9,3,48.38,synonym,
actor,concept,3,3,actor,17320,Actor,4,2,63.79,synonym,
sent,term,3,3,Sent to live and work in a laundry at age 9,,,,,,none,yes
servant,concept,3,3,Civil servant (1909-33),54010,"Domestic Servant, General",9,3,41.43,synonym,
blacksmith,concept,3,3,Went to learn father’s trade of whitesmith at,83110,"Blacksmith, General",7,3,55.31,synonym,
gardener,concept,3,3,"assistant groom and gardener, and then an ind",62740,Gardener,12,5,53.25,synonym,
painter_artist,concept,3,3,gasometer painter,16130,"Painter, Artist",4,2,84.2,synonym,
publisher,concept,3,3,publisher of Vanity Fair,41020,Working Proprietor (Wholesale Trade),3,2,81.33,synonym,yes
partnership,term,3,3,entered into partnership with former employer,,,,,,none,yes
carpenter,concept,3,3,carpenter’s mate (1821),95410,"Carpenter, General",7,3,53.84,synonym,
butcher,concept,3,3,Butcher’s errand-boy,77940,Fish Butcher,9,3,58.74,rescue,yes
assisted,term,2,2,Assisted at home in raising young family,,,,,,none,yes
periods,term,2,2,"Employed for short periods in a shop, a stove",,,,,,none,yes
milkboy,term,2,2,milkboy,,,,,,none,yes
boy,term,2,2,‘boy of all work’ at a ‘lath-renders’ and at ,,,,,,none,yes
forced,term,2,2,Forced to start work at age 11 owing to decli,,,,,,none,yes
opened,term,2,2,opened own school (1828),,,,,,none,yes
joiner,concept,2,2,house-joiner (1844-6),95420,Construction Joiner,7,3,53.84,synonym,
stoker,term,2,2,stoker on merchant tramp steamer (1910),,,,,,none,yes
tramp,term,2,2,tramp,,,,,,none,yes
hawker,term,2,2,hawker of small wares,,,,,,none,yes
assisted father,term,2,2,Assisted father in brewing and gardening (183,,,,,,none,yes
put,term,2,2,"Was put to the bobbin-wheel at age 8, and to ",,,,,,none,yes
assist,term,2,2,Left school to assist in printing business ma,6420,Dental Assistant,5,2,59.29,keyword,yes
monitor,term,2,2,Appointed monitor (pupil-teacher) at South Si,,,,,,none,yes
leader,term,2,2,appointed leader of Stockport Theatre Royal O,,,,,,none,yes
farmer,concept,2,2,"tenant farmer, while continuing his distingui",61250,Dairy Farmer,8,4,50.88,rescue,yes
stable-boy,term,2,2,stable-boy (1757-60),,,,,,none,yes
checkweighman,term,2,2,checkweighman (from 1919),,,,,,none,yes
cabin-boy,term,2,2,cabin-boy,,,,,,none,yes
porter,concept,2,2,Supported self from very early age by taking ,97145,Warehouse Porter,11,5,56.66,synonym,yes
tailor,concept,2,2,Apprentice tailor in Germany,79100,"Tailor, Specialisation Unknown",7,3,53.02,rescue,yes
began,term,2,2,began to sell cheeses at the weekend (c.1815),,,,,,none,yes
head,term,2,2,Head of English Department at Aberdeen Gramma,53120,Head Cook,6,2,57.66,keyword,yes
full-time mill worker,term,2,2,full-time mill worker,77130,Rice Miller,7,3,62.7,keyword,yes
quarryman,term,2,2,quarryman in a conscientious objector’s camp ,71110,"Quarryman, General",9,3,58.34,keyword,yes
glasgow printshop,term,1,1,Employed in a Glasgow printshop,,,,,,none,yes
foreman,term,1,1,"foreman of print shop (for 7 years), then a m",22610,"Production Supervisor or Foreman, General",3,2,62.77,keyword,yes
editorial intelligence department,term,1,1,joined Editorial Intelligence Department of D,,,,,,none,yes
established bakunin press,term,1,1,"established the Bakunin Press (1907), publish",56070,Presser (Hand),9,3,55.97,keyword,yes
bottle factory,term,1,1,"Employed in a bottle factory at age 11, subse",99930,Factory Worker,11,5,55.31,keyword,yes
sorter,term,1,1,sorter (1892-?),,,,,,none,yes
most,term,1,1,spent most of his working life with the Post ,,,,,,none,yes
dress-maker,term,1,1,"dress-maker (from age 17), with own workroom ",79140,Dressmaker,7,3,59.72,exact,
charge,term,1,1,in charge of workroom from 1905,,,,,,none,yes
labour party woman,term,1,1,Labour Party Woman Organiser for Wales (1919-,99910,Labourer,11,5,57.34,keyword,yes
glamorgan health executive,term,1,1,appointed to the Glamorgan Health Executive C,7130,Public Health Nurse,4,2,69.15,keyword,yes
attendance officer,term,1,1,school attendance officer (1874-5),58320,Officer,1,1,95.41,keyword,yes
sanitary inspector,term,1,1,sanitary inspector (1875-90),13950,School Inspector,2,1,81.63,keyword,yes
obtained livelihood,term,1,1,and obtained a livelihood in old age by publi,,,,,,none,yes
he turning wheel,term,1,1,At age 8 he worked turning the wheel at a rop,75720,"Wheel Turner, Rope Making",9,3,50.74,keyword,yes
apprentice shipwright,term,1,1,"Apprentice shipwright, for 7 weeks only (1901",95440,Wood Shipwright,7,3,58.4,keyword,yes
carried milk,term,1,1,"Carried milk for dairy farmer, becoming full-",62520,Milker (Machine),10,5,48.34,keyword,yes
apprentice iron-moulder remaining,term,1,1,"apprentice iron-moulder, remaining a foundry ",,,,,,none,yes
apprentice soap-boiler,term,1,1,Apprentice soap-boiler (1786-94),,,,,,none,yes
imprisoned,term,1,1,imprisoned (1798-1801),,,,,,none,yes
apprentice brushmaker,term,1,1,apprentice brushmaker (c.1864/5-71?),,,,,,none,yes
resigned,term,1,1,resigned from Manchester Sunday Chronicle (18,,,,,,none,yes
