entry_id,surname,destinations,amplitude,n_reversals,horizontal_cross,transversal_cross,n_struct_total,pV,pH,pT,index,confiance,n_cam,n_occ
235,FARISH,Media,98.9,4,2,3,4,0.964,0.936,0.764,88.8,bonne,8,10
430,LENO,Art+Media,126.3,4,1,5,4,0.982,0.727,0.941,88.3,bonne,9,9
59,BERTRAM,Art+Media,52.0,3,4,3,3,0.836,1.0,0.764,86.7,bonne,7,8
735,WATSON,Media,91.9,3,1,4,4,0.945,0.727,0.9,85.8,bonne,6,6
462,MacDIARMID,Art+Media,46.7,3,2,3,4,0.782,0.936,0.764,82.7,bonne,7,8
222,EDWARDS,Art+Media,89.4,3,1,3,4,0.936,0.727,0.764,80.9,bonne,5,5
549,PATON,Art+Media,47.2,1,1,4,4,0.8,0.727,0.9,80.9,bonne,6,6
339,HOLCROFT,Art+Media,87.7,3,1,3,3,0.927,0.727,0.764,80.6,bonne,7,7
568,RAGG,Art+Media,59.2,2,2,2,2,0.864,0.936,0.555,78.5,bonne,5,5
200,DAVIES,Art+Media,57.6,1,2,2,4,0.855,0.936,0.555,78.2,bonne,6,7
108,BURGESS,Art+Media,26.1,1,2,6,4,0.427,0.936,0.973,77.9,bonne,8,9
725,WALLACE,Art+Media,35.1,1,1,5,4,0.636,0.727,0.941,76.8,bonne,4,7
411,KENNEY,Media,47.7,2,1,3,4,0.809,0.727,0.764,76.7,bonne,11,10
407,KEATING,Art+Media,132.7,7,0,7,4,1.0,0.291,0.995,76.2,bonne,10,13
126,CARDUS,Art+Media,128.3,4,0,7,4,0.991,0.291,0.995,75.9,bonne,7,8
176,COOPER,Media,42.5,2,2,2,4,0.755,0.936,0.555,74.8,bonne,5,5
548,PATERSON,Art+Media,41.0,1,1,3,4,0.714,0.727,0.764,73.5,bonne,5,6
481,MANN,Media,29.6,1,1,5,4,0.523,0.727,0.941,73.0,bonne,7,9
530,MURPHY,Media,28.5,1,2,3,4,0.491,0.936,0.764,73.0,bonne,7,9
111,BURN,Media,64.6,2,1,2,3,0.891,0.727,0.555,72.4,bonne,6,8
688,TAYLOR,Media,64.1,1,2,1,3,0.882,0.936,0.327,71.5,bonne,4,4
768,WILSON,Media,93.5,2,0,4,4,0.955,0.291,0.9,71.5,bonne,7,8
776,WRIGHT,Art+Media,62.2,2,0,6,4,0.873,0.291,0.973,71.2,bonne,5,7
5,ADAMS,Media,47.9,3,1,2,4,0.818,0.727,0.555,70.0,bonne,6,6
676,SUMMERBELL,Media,78.3,3,0,4,4,0.909,0.291,0.9,70.0,bonne,6,6
