aid,year,structure,category,sequence
103,1873,C,,D
103,1897,C,conservative,C
108,1884,D,established,A
108,1892,D,excluded,D
108,1896,C,established,A
108,1900,D,conservative,D
108,1904,D,,A
108,1908,B,established,B
108,1912,A,excluded,A
108,1916,B,established,D
108,1920,D,conservative,D
109,1905,C,conservative,C
109,1913,C,excluded,C
109,1921,C,,C
110,1838,C,excluded,C
110,1842,A,established,A
110,1846,A,established,A
110,1854,C,conservative,D
110,1858,D,established,A
111,1869,C,,C
111,1873,C,conservative,C
111,1881,C,aspirant,C
111,1889,C,,C
111,1893,C,,C
111,1901,C,established,A
111,1909,D,established,A
111,1913,C,excluded,C
114,1872,B,excluded,B
114,1876,B,established,B
123,1855,A,established,A
123,1859,D,conservative,D
124,1910,C,,D
126,1869,A,conservative,A
126,1873,C,,C
126,1877,B,established,B
126,1881,C,excluded,C
126,1885,A,aspirant,A
126,1889,C,excluded,D
126,1893,B,established,B
126,1897,D,established,A
13,1896,C,excluded,D
13,1908,B,established,D
13,1912,B,established,B
13,1916,B,established,B
135,1865,A,excluded,C
136,1807,C,excluded,C
136,1815,C,excluded,C
143,1839,C,excluded,C
143,1847,B,,C
147,1912,C,excluded,C
147,1916,D,aspirant,D
147,1920,A,established,A
147,1924,A,conservative,A
150,1914,C,excluded,C
150,1918,B,established,B
150,1922,C,,C
150,1926,C,,C
155,1886,C,excluded,D
155,1894,A,established,A
155,1910,D,conservative,D
155,1914,D,conservative,D
172,1916,C,,C
176,1838,C,conservative,C
176,1842,A,established,A
176,1846,A,excluded,B
176,1850,A,established,A
176,1854,D,conservative,D
177,1824,C,excluded,C
177,1836,A,established,A
177,1840,D,established,A
177,1848,A,established,B
178,1897,C,,C
178,1901,C,excluded,D
178,1905,C,excluded,D
178,1909,C,excluded,D
178,1913,C,aspirant,C
178,1917,C,conservative,C
178,1921,C,conservative,C
178,1925,C,conservative,C
178,1929,C,conservative,C
178,1933,A,aspirant,A
18,1913,B,,D
188,1852,C,excluded,C
188,1856,C,aspirant,C
188,1868,C,excluded,D
195,1913,A,excluded,C
195,1921,A,excluded,C
200,1908,C,excluded,D
200,1912,C,,C
200,1920,A,established,B
200,1924,A,established,B
200,1928,A,established,B
200,1940,A,established,A
200,1944,D,conservative,D
202,1890,C,,C
210,1869,C,excluded,D
210,1885,A,excluded,A
214,1884,C,excluded,C
214,1892,B,,D
214,1896,B,established,B
214,1900,B,established,B
219,1873,D,established,A
222,1846,C,conservative,C
222,1850,C,excluded,D
222,1854,D,aspirant,A
222,1862,C,excluded,C
222,1866,B,established,B
225,1904,C,excluded,D
225,1912,A,,A
233,1909,A,excluded,C
233,1913,A,excluded,C
235,1849,A,established,A
235,1857,C,excluded,C
235,1861,C,aspirant,C
235,1865,C,,C
235,1869,C,excluded,C
235,1873,C,conservative,C
235,1877,C,excluded,D
235,1881,D,aspirant,D
235,1885,C,excluded,D
235,1889,C,,C
238,1853,C,,C
238,1857,A,established,A
238,1861,A,established,A
238,1869,D,established,A
238,1873,A,excluded,A
238,1877,A,conservative,A
245,1869,C,excluded,C
247,1867,A,,C
25,1848,D,established,A
251,1840,A,,C
251,1844,A,excluded,C
251,1856,A,established,A
251,1860,C,,C
251,1864,D,conservative,D
255,1904,C,conservative,D
255,1908,C,excluded,C
255,1920,B,,B
260,1886,C,excluded,D
260,1898,B,established,B
260,1902,B,established,B
260,1906,D,established,A
260,1910,B,established,B
260,1914,D,conservative,D
260,1918,B,established,B
262,1915,C,conservative,C
262,1919,B,,C
262,1923,D,established,A
265,1779,C,excluded,C
265,1783,A,established,A
265,1791,D,conservative,D
265,1795,A,conservative,A
270,1892,D,excluded,C
270,1900,C,excluded,C
270,1904,C,excluded,D
271,1898,A,excluded,C
