aid,year,structure,category,sequence,weight
lit_criticism_A,1860,A,control,D,0.40
lit_criticism_A,1960,A,control,D,0.40
opinion_poll_B1,1860,B,control,B,0.40
opinion_poll_B1,1960,B,control,B,0.40
party_oversight_B2,1860,B,control,D,0.30
party_oversight_B2,1960,B,control,D,0.30
audit_C1,1860,C,control,C,0.50
audit_C1,1960,C,control,C,0.50
rating_C2,1860,C,control,D,0.40
rating_C2,1960,C,control,D,0.40
inspectorate_C3,1860,C,control,A,0.30
inspectorate_C3,1960,C,control,A,0.30
press_council_D1,1860,D,control,D,0.70
press_council_D1,1960,D,control,D,0.70
ratings_panel_D2,1860,D,control,A,0.55
ratings_panel_D2,1960,D,control,A,0.55
review_board_D3,1860,D,control,B,0.40
review_board_D3,1960,D,control,B,0.40
ombudsman_D4,1860,D,control,C,0.30
ombudsman_D4,1960,D,control,C,0.30
watchdog_D5,1860,D,control,D,0.20
watchdog_D5,1960,D,control,D,0.20
