aid,year,structure,category,sequence,weight
university_of_london,1836,A,control,A,0.2
university_of_london,1858,A,control,A,0.45
university_of_london,1900,A,control,A,0.6
university_of_london,1966,A,control,A,0.6
cambridge_university,1820,A,control,A,0.5
cambridge_university,1900,A,control,A,0.55
cambridge_university,1966,A,control,A,0.55
st_andrews_university,1820,A,control,A,0.45
st_andrews_university,1900,A,control,A,0.5
st_andrews_university,1966,A,control,A,0.5
harvard_university,1955,A,control,A,0.45
harvard_university,1966,A,control,A,0.5
university_college,1826,A,control,A,0.3
university_college,1860,A,control,A,0.45
university_college,1966,A,control,A,0.48
city_of_london_college,1848,A,control,A,0.25
city_of_london_college,1900,A,control,A,0.42
city_of_london_college,1966,A,control,A,0.42
reading_university_college,1892,A,control,A,0.25
reading_university_college,1926,A,control,A,0.45
reading_university_college,1966,A,control,A,0.45
anderson_s_college_and_museu,1796,A,control,A,0.3
anderson_s_college_and_museu,1850,A,control,A,0.42
anderson_s_college_and_museu,1966,A,control,A,0.42
bible_training_college,1882,A,control,A,0.25
bible_training_college,1910,A,control,A,0.4
bible_training_college,1966,A,control,A,0.38
aberdeen_grammar_school,1820,A,control,A,0.32
aberdeen_grammar_school,1966,A,control,A,0.35
shrewsbury_school,1820,A,control,A,0.32
shrewsbury_school,1966,A,control,A,0.35
secular_review,1876,A,control,D,0.2
secular_review,1882,A,control,D,0.42
secular_review,1888,A,control,D,0.15
victoria_and_albert_museum,1852,A,control,D,0.2
victoria_and_albert_museum,1880,A,control,D,0.38
victoria_and_albert_museum,1909,A,control,D,0.45
victoria_and_albert_museum,1966,A,control,D,0.45
elizabethan_literary_society,1884,A,control,D,0.3
elizabethan_literary_society,1910,A,control,D,0.4
elizabethan_literary_society,1940,A,control,D,0.3
elizabethan_literary_society,1966,A,control,D,0.22
manchester_literary_club,1862,A,control,D,0.3
manchester_literary_club,1900,A,control,D,0.42
manchester_literary_club,1966,A,control,D,0.36
national_secular_society,1866,A,control,D,0.28
national_secular_society,1885,A,control,D,0.4
national_secular_society,1915,A,control,D,0.35
national_secular_society,1966,A,control,D,0.28
leicester_secular_society,1851,A,control,D,0.25
leicester_secular_society,1881,A,control,D,0.38
leicester_secular_society,1920,A,control,D,0.3
leicester_secular_society,1966,A,control,D,0.22
oddfellows_sunday_school,1838,A,control,D,0.25
oddfellows_sunday_school,1880,A,control,D,0.32
oddfellows_sunday_school,1930,A,control,D,0.25
oddfellows_sunday_school,1966,A,control,D,0.18
sunday_school_times,1875,A,control,D,0.25
sunday_school_times,1900,A,control,D,0.32
sunday_school_times,1940,A,control,D,0.22
sunday_school_times,1966,A,control,D,0.16
temperance_and_general_provi,1840,C,control,D,0.22
temperance_and_general_provi,1880,C,control,D,0.35
temperance_and_general_provi,1920,C,control,D,0.4
temperance_and_general_provi,1966,C,control,D,0.4
financial_times,1888,D,control,C,0.2
financial_times,1900,D,control,C,0.3
financial_times,1920,D,control,C,0.4
financial_times,1945,D,control,C,0.5
financial_times,1966,D,control,C,0.5
reuters,1851,D,control,D,0.25
reuters,1865,D,control,D,0.5
reuters,1900,D,control,D,0.7
reuters,1945,D,control,D,0.7
reuters,1966,D,control,D,0.65
parliamentary_oversight_illus,1870,B,control,B,0.4
parliamentary_oversight_illus,1920,B,control,B,0.48
parliamentary_oversight_illus,1966,B,control,B,0.45
royal_commission_illus,1860,B,control,D,0.35
royal_commission_illus,1900,B,control,D,0.42
royal_commission_illus,1966,B,control,D,0.38
