aid,year,structure,category,sequence,weight
aberdeen_grammar_school,1869,A,established,A,0.12
aberdeen_grammar_school,1886,A,established,A,0.55
aberdeen_grammar_school,1911,A,established,A,0.08
anderson_s_college_and_museu,1859,A,established,A,0.12
anderson_s_college_and_museu,1877,A,established,A,0.6
anderson_s_college_and_museu,1904,A,established,A,0.08
ayr_observer,1839,D,aspirant,D,0.12
ayr_observer,1862,D,aspirant,D,0.5
ayr_observer,1897,D,aspirant,D,0.08
bakunin_press,1907,A,conservative,D,0.12
bakunin_press,1921,A,conservative,D,0.55
bakunin_press,1942,A,conservative,D,0.08
barnsley_chronicle,1873,D,aspirant,D,0.12
barnsley_chronicle,1889,D,aspirant,D,0.4
barnsley_chronicle,1912,D,aspirant,D,0.08
beaverbrook_press,1931,D,aspirant,D,0.12
beaverbrook_press,1945,D,aspirant,D,0.4
beaverbrook_press,1966,D,aspirant,D,0.08
ben_brierley_s_journal,1869,A,established,A,0.12
ben_brierley_s_journal,1891,A,established,A,0.55
ben_brierley_s_journal,1924,A,established,A,0.08
bible_training_college,1904,A,established,A,0.12
bible_training_college,1923,A,established,A,0.55
bible_training_college,1952,A,established,A,0.08
birmingham_advertiser,1839,D,aspirant,D,0.12
birmingham_advertiser,1853,D,aspirant,D,0.4
birmingham_advertiser,1874,D,aspirant,D,0.08
blackpool_echo,1896,D,aspirant,D,0.12
blackpool_echo,1912,D,aspirant,D,0.4
blackpool_echo,1936,D,aspirant,D,0.08
bradford_observer,1860,D,aspirant,D,0.12
bradford_observer,1875,D,aspirant,D,0.6
bradford_observer,1898,D,aspirant,D,0.08
brighton_guardian,1878,D,aspirant,D,0.12
brighton_guardian,1901,D,aspirant,D,0.6
brighton_guardian,1936,D,aspirant,D,0.08
building_news,1862,D,aspirant,D,0.12
building_news,1878,D,aspirant,D,0.45
building_news,1903,D,aspirant,D,0.08
cambridge_university,1919,A,established,A,0.12
cambridge_university,1936,A,established,A,0.6
cambridge_university,1961,A,established,A,0.08
catton_factory_times,1892,D,aspirant,D,0.12
catton_factory_times,1910,D,aspirant,D,0.4
catton_factory_times,1936,D,aspirant,D,0.08
cheap_and_honest_press,1836,A,conservative,D,0.12
cheap_and_honest_press,1850,A,conservative,D,0.45
cheap_and_honest_press,1872,A,conservative,D,0.08
cheshire_observer,1854,D,aspirant,D,0.12
cheshire_observer,1874,D,aspirant,D,0.55
cheshire_observer,1903,D,aspirant,D,0.08
city_of_london_college,1906,A,established,A,0.12
city_of_london_college,1921,A,established,A,0.55
city_of_london_college,1943,A,established,A,0.08
communist_chronicle,1846,D,aspirant,D,0.12
communist_chronicle,1868,D,aspirant,D,0.55
communist_chronicle,1902,D,aspirant,D,0.08
cotton_factory_times,1885,D,aspirant,D,0.12
cotton_factory_times,1900,D,aspirant,D,0.45
cotton_factory_times,1923,D,aspirant,D,0.08
daily_chronicle,1906,D,aspirant,D,0.12
daily_chronicle,1926,D,aspirant,D,0.5
daily_chronicle,1956,D,aspirant,D,0.08
daily_citizen,1912,D,aspirant,D,0.12
daily_citizen,1927,D,aspirant,D,0.5
daily_citizen,1949,D,aspirant,D,0.08
daily_herald,1929,D,aspirant,D,0.12
daily_herald,1944,D,aspirant,D,0.55
daily_herald,1966,D,aspirant,D,0.08
elizabethan_literary_society,1886,A,established,A,0.12
elizabethan_literary_society,1902,A,established,A,0.45
elizabethan_literary_society,1926,A,established,A,0.08
financial_times,1928,D,aspirant,D,0.12
financial_times,1942,D,aspirant,D,0.6
financial_times,1963,D,aspirant,D,0.08
glasgow_news,1873,D,aspirant,D,0.12
glasgow_news,1891,D,aspirant,D,0.5
glasgow_news,1918,D,aspirant,D,0.08
harvard_university,1955,A,established,A,0.12
harvard_university,1959,A,established,A,0.6
harvard_university,1966,A,established,A,0.08
industrial_syndicalist,1910,D,aspirant,D,0.12
industrial_syndicalist,1932,D,aspirant,D,0.55
industrial_syndicalist,1964,D,aspirant,D,0.08
keighley_labour_journal,1893,D,aspirant,D,0.12
keighley_labour_journal,1908,D,aspirant,D,0.6
keighley_labour_journal,1930,D,aspirant,D,0.08
kilmarnock_chronicle,1831,D,aspirant,D,0.12
kilmarnock_chronicle,1847,D,aspirant,D,0.55
kilmarnock_chronicle,1871,D,aspirant,D,0.08
leicester_secular_society,1899,A,established,A,0.12
leicester_secular_society,1915,A,established,A,0.55
leicester_secular_society,1939,A,established,A,0.08
london_evening_standard,1919,D,aspirant,D,0.12
london_evening_standard,1938,D,aspirant,D,0.6
london_evening_standard,1966,D,aspirant,D,0.08
manchester_guardian,1917,D,aspirant,D,0.12
manchester_guardian,1937,D,aspirant,D,0.4
manchester_guardian,1966,D,aspirant,D,0.08
manchester_literary_club,1864,A,established,A,0.12
manchester_literary_club,1882,A,established,A,0.55
manchester_literary_club,1909,A,established,A,0.08
manchester_sunday_chronicle,1891,A,established,A,0.12
manchester_sunday_chronicle,1913,A,established,A,0.6
manchester_sunday_chronicle,1945,A,established,A,0.08
mechanics_magazine,1869,A,established,A,0.12
mechanics_magazine,1889,A,established,A,0.45
mechanics_magazine,1920,A,established,A,0.08
montrose_review,1920,A,established,A,0.12
montrose_review,1938,A,established,A,0.45
montrose_review,1966,A,established,A,0.08
municipal_journal,1918,A,established,A,0.12
municipal_journal,1937,A,established,A,0.5
municipal_journal,1966,A,established,A,0.08
national_secular_society,1911,A,established,A,0.12
national_secular_society,1932,A,established,A,0.5
national_secular_society,1963,A,established,A,0.08
new_britain_quarterly,1932,A,established,A,0.12
new_britain_quarterly,1946,A,established,A,0.5
new_britain_quarterly,1966,A,established,A,0.08
newcastle_weekly_chronicle,1864,D,aspirant,D,0.12
newcastle_weekly_chronicle,1879,D,aspirant,D,0.45
