aid,year,structure,category,sequence
aberdeen_grammar_school,1869,A,established,A
anderson_s_college_and_museu,1859,A,established,A
ayr_observer,1839,D,aspirant,D
bakunin_press,1907,A,conservative,D
barnsley_chronicle,1873,D,aspirant,D
beaverbrook_press,1931,D,aspirant,D
ben_brierley_s_journal,1869,A,established,A
bible_training_college,1904,A,established,A
birmingham_advertiser,1839,D,aspirant,D
blackpool_echo,1896,D,aspirant,D
bradford_observer,1860,D,aspirant,D
brighton_guardian,1878,D,aspirant,D
building_news,1862,D,aspirant,D
cambridge_university,1919,A,established,A
catton_factory_times,1892,D,aspirant,D
cheap_and_honest_press,1836,A,conservative,D
cheshire_observer,1854,D,aspirant,D
city_of_london_college,1906,A,established,A
communist_chronicle,1846,D,aspirant,D
cotton_factory_times,1885,D,aspirant,D
daily_chronicle,1906,D,aspirant,D
daily_citizen,1912,D,aspirant,D
daily_citizen,1916,D,aspirant,D
daily_herald,1929,D,aspirant,D
elizabethan_literary_society,1886,A,established,A
financial_times,1928,D,aspirant,D
glasgow_news,1873,D,aspirant,D
harvard_university,1955,A,established,A
industrial_syndicalist,1910,D,aspirant,D
keighley_labour_journal,1893,D,aspirant,D
kilmarnock_chronicle,1831,D,aspirant,D
leicester_secular_society,1899,A,established,A
london_evening_standard,1919,D,aspirant,D
manchester_guardian,1917,D,aspirant,D
manchester_literary_club,1864,A,established,A
manchester_sunday_chronicle,1891,A,established,A
mechanics_magazine,1869,A,established,A
montrose_review,1920,A,established,A
municipal_journal,1918,A,established,A
national_secular_society,1911,A,established,A
new_britain_quarterly,1932,A,established,A
newcastle_weekly_chronicle,1864,D,aspirant,D
oddfellows_sunday_school,1838,A,established,A
oldham_express,1904,D,aspirant,D
oldham_operative,1884,D,aspirant,D
railway_review,1897,D,aspirant,D
rand_daily_mail,1902,D,aspirant,D
reading_university_college,1895,A,established,A
reuters,1891,D,aspirant,D
secular_review,1876,A,established,A
shrewsbury_school,1912,A,established,A
st_andrews_university,1876,A,established,A
sunday_school_times,1889,A,established,A
sunday_worker,1921,A,established,A
teddy_ashton_s_journal,1896,A,established,A
temperance_and_general_provi,1853,A,established,A
university_college,1883,A,established,A
university_of_london,1914,A,established,A
university_of_london,1921,A,established,A
victoria_and_albert_museum,1938,A,established,A
workman_s_times,1891,D,aspirant,D
yorkshire_factory_times,1889,D,aspirant,D
