aid,year,structure,category,sequence
108,1884,D,established,A
108,1892,D,excluded,D
108,1896,C,established,A
108,1900,D,conservative,D
108,1904,D,,A
108,1908,B,established,B
108,1912,A,excluded,A
108,1916,B,established,D
108,1920,D,conservative,D
235,1849,A,established,A
235,1857,C,excluded,C
235,1861,C,aspirant,C
235,1865,C,,C
235,1869,C,excluded,C
235,1873,C,conservative,C
235,1877,C,excluded,D
235,1881,D,aspirant,D
235,1885,C,excluded,D
235,1889,C,,C
430,1849,C,excluded,C
430,1857,C,excluded,C
430,1865,A,excluded,C
430,1869,A,excluded,C
430,1873,D,aspirant,D
430,1877,A,excluded,C
430,1881,A,aspirant,D
430,1885,C,excluded,D
430,1889,A,aspirant,A
481,1875,C,,C
481,1883,A,excluded,C
481,1891,C,conservative,C
481,1895,C,excluded,C
481,1899,B,established,D
481,1903,B,,D
481,1907,B,established,B
481,1915,D,conservative,D
481,1923,B,established,B
735,1818,A,,B
735,1826,C,established,A
735,1830,A,excluded,C
735,1834,C,established,A
735,1838,A,excluded,D
735,1842,A,excluded,C
