aid,annee,structure,categorie,sequence
t1_renowned_1,1988,A,aspirant,A
t1_renowned_1,1998,A,etabli,A
t1_renowned_1,2010,D,etabli,A
t1_renowned_1,2015,A,etabli,A
t1_renowned_1,2025,A,conservateur,A
t1_renowned_1,2025,D,etabli,A
t1_renowned_2,1988,A,aspirant,A
t1_renowned_2,1998,A,etabli,A
t1_renowned_2,2010,D,etabli,A
t1_renowned_2,2015,A,etabli,A
t1_renowned_2,2025,A,conservateur,A
t1_renowned_2,2025,D,etabli,A
t1_renowned_3,1988,A,aspirant,A
t1_renowned_3,1998,A,etabli,A
t1_renowned_3,2015,A,etabli,A
t1_renowned_3,2025,A,conservateur,A
t1_renowned_4,1988,A,aspirant,A
t1_renowned_4,1998,A,etabli,A
t1_renowned_4,2015,A,etabli,A
t1_renowned_4,2025,A,conservateur,A
t2_classic_1,1948,A,etabli,A
t2_classic_1,1965,A,conservateur,A
t2_classic_1,1984,A,conservateur,A
t2_classic_2,1948,A,etabli,A
t2_classic_2,1965,A,conservateur,A
t2_classic_2,1984,A,conservateur,A
t2_classic_3,1948,A,etabli,A
t2_classic_3,1965,A,conservateur,A
t2_classic_3,1984,A,conservateur,A
t3_rediscovered_1,1958,A,aspirant,A
t3_rediscovered_1,1974,A,decu,B
t3_rediscovered_1,2002,A,etabli,A
t3_rediscovered_1,2012,D,etabli,A
t3_rediscovered_1,2022,A,conservateur,A
t3_rediscovered_2,1958,A,aspirant,A
t3_rediscovered_2,1974,A,decu,B
t3_rediscovered_2,2002,A,etabli,A
t3_rediscovered_2,2022,A,conservateur,A
t3_rediscovered_3,1958,A,aspirant,A
t3_rediscovered_3,1974,A,decu,B
t3_rediscovered_3,2002,A,etabli,A
t3_rediscovered_3,2022,A,conservateur,A
t3_rediscovered_4,1958,A,aspirant,A
t3_rediscovered_4,1974,A,decu,B
t3_rediscovered_4,2002,A,etabli,A
t3_rediscovered_4,2022,A,conservateur,A
t4_regional_1,2001,A,aspirant,A
t4_regional_1,2013,A,aspirant,A
t4_regional_1,2025,A,aspirant,A
t4_regional_2,2001,A,aspirant,B
t4_regional_2,2013,A,aspirant,B
t4_regional_2,2025,A,aspirant,B
t4_regional_3,2001,A,aspirant,A
t4_regional_3,2013,A,decu,A
t4_regional_3,2025,A,decu,A
t4_regional_4,2001,A,aspirant,A
t4_regional_4,2013,A,aspirant,A
t4_regional_4,2025,A,aspirant,A
t4_regional_5,2001,A,aspirant,B
t4_regional_5,2013,A,decu,B
t4_regional_5,2025,A,decu,B
t4_regional_6,2001,A,aspirant,C
t4_regional_6,2013,A,aspirant,C
t4_regional_6,2025,A,aspirant,C
t4_regional_7,2001,A,aspirant,A
t4_regional_7,2013,A,aspirant,A
t4_regional_7,2025,A,aspirant,A
