aid,annee,structure,categorie,sequence,poids
auktion_leipzig,1985,A,controle,A,0.2
auktion_leipzig,2005,A,controle,A,0.34
auktion_leipzig,2025,A,controle,A,0.52
auktion_rheinland,1985,A,controle,A,0.26
auktion_rheinland,2005,A,controle,A,0.52
auktion_rheinland,2025,A,controle,A,0.76
auktion_media_house,1992,D,controle,A,0.18
auktion_media_house,2008,D,controle,A,0.4
auktion_media_house,2025,D,controle,A,0.62
galleries,1985,A,etabli,A,0.3
galleries,2005,A,etabli,A,0.46
galleries,2025,A,etabli,A,0.6
critics_press,1990,A,conservateur,D,0.2
critics_press,2008,A,conservateur,D,0.38
critics_press,2025,A,conservateur,D,0.52
