aid,annee,structure,categorie,sequence
103,1873,C,,D
103,1897,C,conservateur,C
108,1884,D,etabli,A
108,1892,D,decu,D
108,1896,C,etabli,A
108,1900,D,conservateur,D
108,1904,D,,A
108,1908,B,etabli,B
108,1912,A,decu,A
108,1916,B,etabli,D
108,1920,D,conservateur,D
109,1905,C,conservateur,C
109,1913,C,decu,C
109,1921,C,,C
110,1838,C,decu,C
110,1842,A,etabli,A
110,1846,A,etabli,A
110,1854,C,conservateur,D
110,1858,D,etabli,A
111,1869,C,,C
111,1873,C,conservateur,C
111,1881,C,aspirant,C
111,1889,C,,C
111,1893,C,,C
111,1901,C,etabli,A
111,1909,D,etabli,A
111,1913,C,decu,C
114,1872,B,decu,B
114,1876,B,etabli,B
123,1855,A,etabli,A
123,1859,D,conservateur,D
124,1910,C,,D
126,1869,A,conservateur,A
126,1873,C,,C
126,1877,B,etabli,B
126,1881,C,decu,C
126,1885,A,aspirant,A
126,1889,C,decu,D
126,1893,B,etabli,B
126,1897,D,etabli,A
13,1896,C,decu,D
13,1908,B,etabli,D
13,1912,B,etabli,B
13,1916,B,etabli,B
135,1865,A,decu,C
136,1807,C,decu,C
136,1815,C,decu,C
143,1839,C,decu,C
143,1847,B,,C
147,1912,C,decu,C
147,1916,D,aspirant,D
147,1920,A,etabli,A
147,1924,A,conservateur,A
150,1914,C,decu,C
150,1918,B,etabli,B
150,1922,C,,C
150,1926,C,,C
155,1886,C,decu,D
155,1894,A,etabli,A
155,1910,D,conservateur,D
155,1914,D,conservateur,D
172,1916,C,,C
176,1838,C,conservateur,C
176,1842,A,etabli,A
176,1846,A,decu,B
176,1850,A,etabli,A
176,1854,D,conservateur,D
177,1824,C,decu,C
177,1836,A,etabli,A
177,1840,D,etabli,A
177,1848,A,etabli,B
178,1897,C,,C
178,1901,C,decu,D
178,1905,C,decu,D
178,1909,C,decu,D
178,1913,C,aspirant,C
178,1917,C,conservateur,C
178,1921,C,conservateur,C
178,1925,C,conservateur,C
178,1929,C,conservateur,C
