aid,annee,structure,categorie,sequence,poids
lit_criticism_A,1860,A,controle,D,0.40
lit_criticism_A,1960,A,controle,D,0.40
opinion_poll_B1,1860,B,controle,B,0.40
opinion_poll_B1,1960,B,controle,B,0.40
party_oversight_B2,1860,B,controle,D,0.30
party_oversight_B2,1960,B,controle,D,0.30
audit_C1,1860,C,controle,C,0.50
audit_C1,1960,C,controle,C,0.50
rating_C2,1860,C,controle,D,0.40
rating_C2,1960,C,controle,D,0.40
inspectorate_C3,1860,C,controle,A,0.30
inspectorate_C3,1960,C,controle,A,0.30
press_council_D1,1860,D,controle,D,0.70
press_council_D1,1960,D,controle,D,0.70
ratings_panel_D2,1860,D,controle,A,0.55
ratings_panel_D2,1960,D,controle,A,0.55
review_board_D3,1860,D,controle,B,0.40
review_board_D3,1960,D,controle,B,0.40
ombudsman_D4,1860,D,controle,C,0.30
ombudsman_D4,1960,D,controle,C,0.30
watchdog_D5,1860,D,controle,D,0.20
watchdog_D5,1960,D,controle,D,0.20
