aid,annee,structure,categorie,sequence,poids
cambridge_university,1919,A,controle,A,0.6
cambridge_university,1966,A,controle,A,0.6
st_andrews_university,1876,A,controle,A,0.6
st_andrews_university,1966,A,controle,A,0.6
university_of_london,1914,A,controle,A,0.6
university_of_london,1966,A,controle,A,0.6
harvard_university,1955,A,controle,A,0.6
harvard_university,1966,A,controle,A,0.6
university_college,1883,A,controle,A,0.45
university_college,1966,A,controle,A,0.45
reading_university_college,1895,A,controle,A,0.45
reading_university_college,1966,A,controle,A,0.45
city_of_london_college,1906,A,controle,A,0.45
city_of_london_college,1966,A,controle,A,0.45
anderson_s_college_and_museu,1859,A,controle,A,0.45
anderson_s_college_and_museu,1966,A,controle,A,0.45
bible_training_college,1904,A,controle,A,0.45
bible_training_college,1966,A,controle,A,0.45
aberdeen_grammar_school,1869,A,controle,A,0.35
aberdeen_grammar_school,1966,A,controle,A,0.35
shrewsbury_school,1912,A,controle,A,0.35
shrewsbury_school,1966,A,controle,A,0.35
secular_review,1876,A,controle,D,0.42
secular_review,1966,A,controle,D,0.42
elizabethan_literary_society,1886,A,controle,D,0.4
elizabethan_literary_society,1966,A,controle,D,0.4
manchester_literary_club,1864,A,controle,D,0.4
manchester_literary_club,1966,A,controle,D,0.4
victoria_and_albert_museum,1938,A,controle,D,0.45
victoria_and_albert_museum,1966,A,controle,D,0.45
national_secular_society,1911,A,controle,D,0.35
national_secular_society,1966,A,controle,D,0.35
leicester_secular_society,1899,A,controle,D,0.35
leicester_secular_society,1966,A,controle,D,0.35
oddfellows_sunday_school,1838,A,controle,D,0.3
oddfellows_sunday_school,1966,A,controle,D,0.3
sunday_school_times,1889,A,controle,D,0.3
sunday_school_times,1966,A,controle,D,0.3
temperance_and_general_provi,1853,C,controle,D,0.35
temperance_and_general_provi,1966,C,controle,D,0.35
financial_times,1928,D,controle,C,0.45
financial_times,1966,D,controle,C,0.45
reuters,1891,D,controle,D,0.6
reuters,1966,D,controle,D,0.6
parliamentary_oversight_illus,1870,B,controle,B,0.45
parliamentary_oversight_illus,1966,B,controle,B,0.45
royal_commission_illus,1860,B,controle,D,0.4
royal_commission_illus,1966,B,controle,D,0.4
