entry_id,surname,forename,destinations,stage_index,occupation_raw,age,hisco_code,hisclass,hiscam,tr_category,code_method,code_review,tr_absolute,tr_relative,code_tier
4,ADAMS,Albert Charles,Media,1,"Went to sea on leaving school, but soon returned home to become apprenticed to a draper, eventually setting up a shop on own account",,98140,11,52.91,Enttaeuschte,synonym,,Enttaeuschte,(indéterminé),statut
5,ADAMS,William Edwin,Media,1,Errand-boy (1844),,37040,9,55.72,Enttaeuschte,synonym,,Enttaeuschte,Enttaeuschte,statut
5,ADAMS,William Edwin,Media,2,apprentice printer (1846-53),,92110,7,67.59,Enttaeuschte,synonym,,Enttaeuschte,Anwaerter,statut
5,ADAMS,William Edwin,Media,3,"compositor (for 1 year on Linton’s English Republic, 1854-5)",,92120,7,61.68,Enttaeuschte,synonym,,Enttaeuschte,Enttaeuschte,statut
5,ADAMS,William Edwin,Media,4,regular contributor (’Caractacus’) to National Reformer and to Newcastle Chronicle (’Ironside’),,15915,2,86.98,Etablierte,synonym,,Etablierte,Etablierte,statut
5,ADAMS,William Edwin,Media,5,journalist (1863-),,15915,2,86.98,Etablierte,synonym,,Etablierte,Etablierte,statut
5,ADAMS,William Edwin,Media,6,editor of Newcastle Weekly Chronicle (1864-1900),,15920,2,82.12,Enttaeuschte,synonym,,Enttaeuschte,Etablierte,statut
6,AIRD,Andrew,Media,1,Employed in a Glasgow printshop,9,,,,,,,,,
6,AIRD,Andrew,Media,2,messenger-boy,12,37040,9,55.72,Enttaeuschte,synonym,,Enttaeuschte,Enttaeuschte,statut
6,AIRD,Andrew,Media,3,"apprentice compositor, becoming a journeyman in 1839",,92120,7,61.68,Enttaeuschte,synonym,,Enttaeuschte,Anwaerter,statut
6,AIRD,Andrew,Media,4,"foreman of print shop (for 7 years), then a manager",,21110,3,84.88,,generic,yes,Etablierte,Etablierte,trajectoire
8,ALDRED,Guy A.,Art+Media,1,Office-boy in an insurance doctor’s office (1901),,37040,9,55.72,Enttaeuschte,synonym,,Enttaeuschte,Enttaeuschte,statut
8,ALDRED,Guy A.,Art+Media,2,"office-sweeper in the National Press Agency, rising to become a ‘penny-a-liner’ for the London Letter column and, eventually, assistant sub-editor (for 5 years)",,,,,,,,,,
8,ALDRED,Guy A.,Art+Media,3,joined Editorial Intelligence Department of Daily Chronicle (to 1906),,,,,,,,,,
8,ALDRED,Guy A.,Art+Media,4,"contributed articles to numerous journals and newspapers, including Islington Gazette, Agnostic Journal, Freedom, Justice, The Social Democrat",,15915,2,86.98,Etablierte,synonym,,Etablierte,Etablierte,statut
8,ALDRED,Guy A.,Art+Media,5,"established the Bakunin Press (1907), publishing many of his own writings",,,,,,,,,,
13,AMMON,Charles George (Lord Ammon of Camberwell),Media,1,"Employed in a bottle factory at age 11, subsequently working at various jobs to age 14",,,,,,,,,,
13,AMMON,Charles George (Lord Ammon of Camberwell),Media,2,telegraph messenger (1887-92),,37040,9,55.72,Enttaeuschte,synonym,,Enttaeuschte,Enttaeuschte,statut
13,AMMON,Charles George (Lord Ammon of Camberwell),Media,3,sorter (1892-?),,,,,,,,,,
13,AMMON,Charles George (Lord Ammon of Camberwell),Media,4,spent most of his working life with the Post Office until forced to resign in 1916 because of political activities,,,,,,,,,,
13,AMMON,Charles George (Lord Ammon of Camberwell),Media,5,"held various trade union appointments, including general and organising secretary of Port of London Docks and Wharves Staff Association (1918-20)",,21110,1,84.88,Etablierte,synonym,yes,Etablierte,Anwaerter,statut
13,AMMON,Charles George (Lord Ammon of Camberwell),Media,6,organising secretary of Union of Post Office Workers (1920-8),,21110,1,84.88,Etablierte,synonym,yes,Etablierte,Bewahrende,statut
