aid,annee,structure,categorie,sequence,poids
mechanics_magazine,1823,A,etabli,A,0.20
mechanics_magazine,1835,A,etabli,A,0.60
mechanics_magazine,1855,A,etabli,A,0.35
mechanics_magazine,1872,A,etabli,A,0.10
secular_review,1876,A,etabli,A,0.20
secular_review,1882,A,etabli,A,0.50
secular_review,1888,A,etabli,A,0.15
bakunin_press,1907,A,conservateur,D,0.10
bakunin_press,1920,A,conservateur,D,0.30
bakunin_press,1935,A,conservateur,D,0.20
bakunin_press,1948,A,conservateur,D,0.05
cotton_factory_times,1885,D,aspirant,D,0.20
cotton_factory_times,1900,D,aspirant,D,0.70
cotton_factory_times,1918,D,aspirant,D,0.35
cotton_factory_times,1937,D,aspirant,D,0.10
reuters,1851,D,aspirant,D,0.25
reuters,1865,D,aspirant,D,0.60
reuters,1900,D,aspirant,D,0.85
reuters,1945,D,aspirant,D,0.90
reuters,1990,D,aspirant,D,0.85
daily_herald,1912,D,aspirant,D,0.30
daily_herald,1922,D,aspirant,D,0.40
daily_herald,1933,D,aspirant,D,0.90
daily_herald,1950,D,aspirant,D,0.55
daily_herald,1964,D,aspirant,D,0.15
