aid,annee,structure,categorie,sequence
108,1884,D,etabli,A
108,1892,D,decu,D
108,1896,C,etabli,A
108,1900,D,conservateur,D
108,1904,D,,A
108,1908,B,etabli,B
108,1912,A,decu,A
108,1916,B,etabli,D
108,1920,D,conservateur,D
235,1849,A,etabli,A
235,1857,C,decu,C
235,1861,C,aspirant,C
235,1865,C,,C
235,1869,C,decu,C
235,1873,C,conservateur,C
235,1877,C,decu,D
235,1881,D,aspirant,D
235,1885,C,decu,D
235,1889,C,,C
430,1849,C,decu,C
430,1857,C,decu,C
430,1865,A,decu,C
430,1869,A,decu,C
430,1873,D,aspirant,D
430,1877,A,decu,C
430,1881,A,aspirant,D
430,1885,C,decu,D
430,1889,A,aspirant,A
481,1875,C,,C
481,1883,A,decu,C
481,1891,C,conservateur,C
481,1895,C,decu,C
481,1899,B,etabli,D
481,1903,B,,D
481,1907,B,etabli,B
481,1915,D,conservateur,D
481,1923,B,etabli,B
735,1818,A,,B
735,1826,C,etabli,A
735,1830,A,decu,C
735,1834,C,etabli,A
735,1838,A,decu,D
735,1842,A,decu,C
